place,type_of_meteorite,mass_g,year,cartodb_id,year_date,longitude,latitude
Gualeguaych̼,H6,22000,1932,750,01.01.1932 00:00,"-58,61667",-33
Mount Egerton,Aubrite-an,22000,1941,751,01.01.1941 00:00,"117,7","-24,76667"
Tostado,H6,22000,1945,752,01.01.1945 00:00,"-61,76667","-29,23333"
Picacho,"Iron, IIIAB",22000,1952,753,01.01.1952 00:00,-105,"33,2"
Saint Augustine,"Iron, IID",22000,1974,754,01.01.1974 00:00,"-90,41667","40,71667"
EET 92193,H6,22000,1992,755,01.01.1992 00:00,"155,94038","-76,04222"
QUE 99001,Iron,22000,1999,756,01.01.1999 00:00,168,-84
Friona,L5,21900,1981,757,01.01.1981 00:00,"-102,56833","34,54"
Hebron,H6,21820,1965,758,01.01.1965 00:00,"-97,6","40,16667"
Duel Hill (1854),"Iron, IVA",21800,1854,759,1854-01-01 00:00:00,"-82,7","35,85"
Kargapole,H4,21800,1961,760,01.01.1961 00:00,"64,3","55,88333"
Lahoma,L5,21800,1963,761,01.01.1963 00:00,"-98,08333","36,38333"
Schwetz,"Iron, IIIAB",21500,1850,762,1850-01-01 00:00:00,"18,45","53,4"
Altonah,"Iron, IVA",21500,1932,763,01.01.1932 00:00,"-110,48333","40,56667"
JaH 317,H5,21472,2001,764,01.01.2001 00:00,"55,55723","19,36312"
Twodot,H6,21400,1999,765,01.01.1999 00:00,"-110,13333","46,7"
Flandreau,H5,21360,1983,766,01.01.1983 00:00,"-96,59167","44,04833"
Dho 007,Eucrite-cm,21270,1999,767,01.01.1999 00:00,"54,18167","18,335"
Abbott,H3-6,21100,1951,768,01.01.1951 00:00,"-104,28333","36,3"
A-881842,Stone-uncl,21064,1988,769,01.01.1988 00:00,26,-72
Kendall County,"Iron, IAB-ung",21000,1887,770,1887-01-01 00:00:00,"-98,5","29,4"
Bath,H4,21000,1892,771,1892-01-01 00:00:00,"-98,31667","45,41667"
Tauti,L6,21000,1937,772,01.01.1937 00:00,"23,5","46,71667"
De Hoek,"Iron, ungrouped",20930,1960,774,01.01.1960 00:00,"23,1","-29,38333"
Artracoona,L6,20810,1914,775,01.01.1914 00:00,"139,91667","-29,06667"
Twannberg,"Iron, IIG",20689,1984,776,01.01.1984 00:00,"7,17889","47,12444"
Lone Tree,H4,20676,1971,777,01.01.1971 00:00,"-91,47917","41,5"
META78028,L6,20657,1978,778,01.01.1978 00:00,"155,75","-79,68333"
Cerro del Inca,"Iron, IIIF",20600,1997,779,01.01.1997 00:00,"-68,90833","-22,21667"
Lucky Hill,"Iron, IIIAB",20500,1885,780,1885-01-01 00:00:00,"-77,63333","17,9"
Jartai,L6,20500,1979,781,01.01.1979 00:00,"105,8","39,7"
DaG 741,H4,20500,1998,782,01.01.1998 00:00,"16,28333","27,08167"
Glasgow,"Iron, IIIAB",20400,1922,783,01.01.1922 00:00,"-85,91667","37,01667"
Conquista,H4,20350,1965,784,01.01.1965 00:00,"-47,55","-19,85"
ALHA76001,L6,20151,1976,785,01.01.1976 00:00,"159,33333","-76,75"
Koltsovo,H4,20020,2004,786,01.01.2004 00:00,"36,978","54,7505"
Vouill̩,L6,20000,1831,787,1831-01-01 00:00:00,"0,16667","46,63333"
Lime Creek,"Iron, IAB-ung",20000,1834,788,1834-01-01 00:00:00,"-87,51667","31,55"
Copiapo,"Iron, IAB-MG",20000,1863,789,1863-01-01 00:00:00,"-70,4","-27,3"
Hessle,H5,20000,1869,790,1869-01-01 00:00:00,"17,66667","59,85"
Tjabe,H6,20000,1869,791,1869-01-01 00:00:00,"111,53333","-7,08333"
Ergheo,L5,20000,1889,792,1889-01-01 00:00:00,"44,16667","1,16667"
Nocoleche,"Iron, IC-an",20000,1895,793,1895-01-01 00:00:00,"144,21667","-29,86667"
Reed City,"Iron, ungrouped",20000,1895,794,1895-01-01 00:00:00,"-85,51667","43,86667"
Anthony,H5,20000,1919,795,01.01.1919 00:00,"-98,05","37,08333"
New Baltimore,"Iron, ungrouped",20000,1922,796,01.01.1922 00:00,"-78,85",40
Taicang,Stone-uncl,20000,1928,797,01.01.1928 00:00,"121,08333","31,5"
Alikatnima,"Iron, ungrouped",20000,1931,798,01.01.1931 00:00,"134,11667","-23,33333"
New Leipzig,"Iron, IAB-MG",20000,1936,799,01.01.1936 00:00,"-101,95","46,36667"
Bristol,"Iron, IVA",20000,1937,800,01.01.1937 00:00,"-82,18333","36,56667"
Uzcudun,L,20000,1948,801,01.01.1948 00:00,"-66,15","-44,11667"
Seoni,H6,20000,1966,802,01.01.1966 00:00,"79,50083","21,68389"
Ankhediya Mota,L4/5,20000,1985,803,01.01.1985 00:00,"73,575","22,35556"
Ourique,H4,20000,1998,804,01.01.1998 00:00,"-8,28","37,60833"
SaU 504,L5/6,20000,2010,805,01.01.2010 00:00,"56,76667","20,38333"
Mulga (north),H6,19900,1964,806,01.01.1964 00:00,"126,36667","-30,18333"
Tysnes Island,H4,19860,1884,807,1884-01-01 00:00:00,"5,61667",60
La Villa,H4,19800,1956,808,01.01.1956 00:00,"-97,90167","26,27167"
Comanche (iron),"Iron, IAB-sLL",19700,1940,809,01.01.1940 00:00,"-98,7","32,01667"
Horace,H5,19700,1940,810,01.01.1940 00:00,"-101,78333","38,35"
Twentynine Palms,L,19700,1944,811,01.01.1944 00:00,"-116,01667","34,075"
Two Buttes (a),H5,19700,1962,812,01.01.1962 00:00,"-102,41667","37,63333"
Colton,"Iron, IIIAB",19670,1993,813,01.01.1993 00:00,"-117,09861","46,57056"
Pan de Azucar,"Iron, IAB complex",19500,1887,814,1887-01-01 00:00:00,"-69,5","-26,5"
Los Reyes,"Iron, IIIAB",19500,1897,815,1897-01-01 00:00:00,"-97,28333","19,26667"
Cocklebiddy,H5,19500,1949,816,01.01.1949 00:00,"126,21667","-31,93333"
HaH 001,H5,19418,1990,817,01.01.1990 00:00,"12,23333",29
Farley,H5,19400,1936,818,01.01.1936 00:00,"-104,05","36,33333"
Arcadia,LL6,19400,1937,819,01.01.1937 00:00,"-99,1","41,41667"
Acfer 336,L3.8,19400,2002,820,01.01.2002 00:00,"4,06667","27,61667"
Souslovo,L4,19300,1997,821,01.01.1997 00:00,"55,78727","55,4295"
Coolac,"Iron, IAB-MG",19280,1874,822,1874-01-01 00:00:00,"148,125","-34,96667"
New Orleans,H5,19256,2003,823,01.01.2003 00:00,"-90,10976","29,94718"
Norqu�_n,"Iron, IIIAB",19250,1945,824,01.01.1945 00:00,"-70,61667","-37,71667"
Arapahoe,L5,19083,1940,825,01.01.1940 00:00,"-102,2","38,8"
PGPA77006,"Iron, IAB-MG",19068,1977,826,01.01.1977 00:00,"162,3","-77,33333"
A-87034,L4,19065,1987,827,01.01.1987 00:00,26,-72
Littlerock,H6,19050,1979,828,01.01.1979 00:00,"-117,98333","34,51667"
Mauerkirchen,L6,19000,1768,829,1768-01-01 00:00:00,"13,13333","48,18333"
Emsland,"Iron, ungrouped",19000,1940,830,01.01.1940 00:00,"7,2","53,1"
Vulcan,H6,19000,1962,831,01.01.1962 00:00,"-113,13333","50,51667"
Big Rock Donga,H6,19000,1970,832,01.01.1970 00:00,"130,96667","-30,55"
MET 01005,L5,19000,2001,833,01.01.2001 00:00,"159,75","-79,68333"
Beni M'hira,L6,19000,2001,834,01.01.2001 00:00,"10,8","32,86667"
Kilabo,LL6,19000,2002,835,01.01.2002 00:00,"9,8","12,76667"
Susuman,"Iron, IIIAB",18900,1957,836,01.01.1957 00:00,"148,13028","62,72139"
Franceville,"Iron, IIIAB",18800,1890,837,1890-01-01 00:00:00,"-104,61667","38,81667"
Kifkakhsyagan,"Iron, IIIAB",18800,1972,838,01.01.1972 00:00,"172,7","64,4"
DaG 779,Howardite,18800,1999,839,01.01.1999 00:00,"16,4375","26,99233"
Shelburne,L5,18600,1904,840,01.01.1904 00:00,"-80,16667","44,05"
DRPA78005,"Iron, IIAB",18600,1978,841,01.01.1978 00:00,"156,38333","-80,06667"
DaG 955,H6,18500,1999,842,01.01.1999 00:00,"16,20767","27,13183"
Coldwater (iron),Iron,18400,1923,843,01.01.1923 00:00,"-99,33333","37,26667"
Polujamki,H4,18350,1971,844,01.01.1971 00:00,"79,7","52,1"
Chajari,L5,18300,1933,845,01.01.1933 00:00,"-58,05","-30,78333"
Mud Dry Lake,H3,18255,2002,846,01.01.2002 00:00,"-117,02097","37,8594"
RaS 202,Mesosiderite,18250,2002,847,01.01.2002 00:00,"56,41628","20,00552"
Rafr�_ti,"Iron, ungrouped",18200,1886,848,1886-01-01 00:00:00,"7,83333",47
Morrow County,L6,18200,1999,849,01.01.1999 00:00,"-119,5","45,5"
Y-793235,L6,18126,1979,850,01.01.1979 00:00,"35,66667","-71,5"
Arltunga,"Iron, IID-an",18100,1908,851,01.01.1908 00:00,"134,66667","-23,33333"
Bachmut,L6,18000,1814,852,1814-01-01 00:00:00,38,"48,6"
Girgenti,L6,18000,1853,853,1853-01-01 00:00:00,"13,56667","37,31667"
Verkhne Udinsk,"Iron, IIIAB",18000,1854,854,1854-01-01 00:00:00,"113,98333","54,76667"
Palinshih,Iron,18000,1914,855,01.01.1914 00:00,"118,61667","43,48333"
B̩r̩ba,Eucrite-mmict,18000,1924,856,01.01.1924 00:00,"-3,65","11,65"
Nashville (iron),Iron,18000,1934,857,01.01.1934 00:00,"-77,96667","35,96667"
Point of Rocks (iron),"Iron, IIIAB",18000,1956,858,01.01.1956 00:00,"-104,5","36,5"
Dahmani,LL6,18000,1981,859,01.01.1981 00:00,"8,83333","35,61667"
Caddo County,"Iron, IAB-ung",18000,1987,860,01.01.1987 00:00,"-98,33333",35
Maria da F̩,"Iron, IVA",18000,1987,861,01.01.1987 00:00,"-45,36667","-22,3"
PCA 91009,L6,18000,1991,862,01.01.1991 00:00,"-68,33784","-85,6882"
Park Forest,L5,18000,2003,863,01.01.2003 00:00,"-87,67917","41,48472"
Dho 1511,L~5,17973,2009,864,01.01.2009 00:00,"54,248","18,63988"
Andura,H6,17900,1939,865,01.01.1939 00:00,"76,86667","20,88333"
Pinto Mountains,L6,17900,1954,866,01.01.1954 00:00,"-115,78333",34
Pi̱on,"Iron, ungrouped",17850,1928,867,01.01.1928 00:00,"-105,1","32,66667"
Duncanville,H,17800,1961,868,01.01.1961 00:00,"-96,86667","32,63333"
ALHA81013,"Iron, IIAB",17727,1981,869,01.01.1981 00:00,"158,84338","-76,74756"
Niederreissen,Doubtful stone,17700,1581,870,1581-01-01 00:00:00,"11,36667","51,06667"
Tulia (d),H6,17700,1981,871,01.01.1981 00:00,"-101,76667","34,60667"
Shi��r 010,L5,17604,2001,872,01.01.2001 00:00,"53,97","18,55"
